#{"t_start": 1646941550.481807, "env_id": "pong-normal-v0"}
r,l,t
-4000,1343,0.821708
-4000,349,0.99343
-4000,475,1.226621
-4000,157,1.31555
-3500,306,1.525722
-3500,864,2.032885
3000,898,2.514609
-3000,1200,3.184051
-4000,1358,3.987653
-3500,339,4.166575
-4000,342,4.364822
-4000,443,4.630356
-4000,432,4.898495
3000,672,5.292049
-4000,489,5.559345
-3500,702,5.955379
-3000,1539,6.897463
-3000,779,7.337929
-4000,497,7.625404
-3500,1623,8.481223
-4000,596,8.852633
-4000,844,9.304509
-4000,1026,9.888078
-4000,252,10.028387
-4000,543,10.349976
-4000,618,10.712701
-3500,584,11.01476
-4000,728,11.415933
-3000,845,11.947181
-4000,1005,12.468798
-3500,947,13.113498
-3500,1245,13.768603
-4000,413,14.020238
-4000,385,14.250634
-4000,365,14.44984
-3500,275,14.599574
-4000,268,14.766298
-2500,1353,15.481573
-4000,465,15.753748
-4000,461,16.027164
-4000,738,16.48221
-3000,336,16.660602
-2500,1185,17.298303
-3500,461,17.571101
-3500,1055,18.235044
-4000,1084,19.420798
-4000,866,20.155219
-3500,529,20.458886
-3500,1282,21.312023
-3000,408,21.554869
-4000,668,21.981035
-3500,681,22.364423
-3500,913,22.96567
-3500,594,23.330612
-3500,1098,24.026153
-4000,1048,24.623299
-3500,849,25.173079
-3500,590,25.508137
-3500,938,26.084655
-4000,482,26.36458
-3500,723,26.839626
-2500,1454,27.688351
-4000,553,28.027596
-3000,616,28.3816
-3500,860,28.924812
-4000,1436,29.779348
-3500,1144,31.299099
-4000,346,31.974744
-2500,843,33.68326
-4000,480,34.563141
-4000,224,34.978029
-4000,224,35.394004
-4000,298,35.997581
-4000,221,36.406226
-4000,980,38.341389
-4000,620,39.483446
-3500,581,40.711968
-4000,250,41.192938
-4000,543,42.193353
-4000,209,42.573036
-4000,389,43.339417
-4000,568,44.439737
-4000,435,45.241472
-4000,610,46.364523
-4000,245,46.872906
-4000,319,47.482805
-4000,675,48.760749
-3000,769,50.171045
-4000,239,50.688202
-4000,853,52.325932
-4000,575,53.386979
-4000,810,54.899315
-4000,3186,60.747162
-3500,1287,62.946311
-3500,501,63.823291
-3500,414,64.52806
-4000,396,65.277378
-4000,383,66.013179
-3500,496,66.891383
-4000,413,67.601803
-4000,500,68.569829
-4000,166,68.891357
-3500,722,70.237305
-4000,587,71.323991
-4000,542,72.374336
-4000,302,72.967689
-4000,771,74.393183
-3000,2734,79.442463
-2500,856,83.784376
-4000,266,84.472476
-4000,492,85.741258
-4000,448,86.853273
-4000,474,88.12829
-3500,425,89.193407
-3000,917,91.410779
-4000,513,92.596857
-3500,418,93.633347
-3000,416,94.611758
-3500,668,96.097667
-3500,306,96.796743
-4000,499,97.999636
3000,531,99.217108
-3500,1845,103.145902
-3500,562,104.285496
-3500,571,105.561055
-4000,333,106.287494
-4000,363,107.040505
-4000,477,108.01552
-4000,500,109.151274
-3500,972,111.169311
-4000,406,111.997999
-4000,792,113.609029
-4000,696,115.18411
-3000,510,116.241553
-4000,456,117.177153
-4000,325,117.852459
-3500,547,119.153808
-4000,398,119.99545
-4000,338,120.679919
-4000,569,121.841982
-4000,452,122.861325
-4000,748,124.476723
-3500,619,125.744119
-4000,466,126.745367
-3000,790,128.500659
-4000,293,129.10572
-4000,275,129.665729
-4000,630,130.947008
-4000,328,131.708713
-4000,372,132.523121
-4000,327,133.196298
-4000,472,134.173499
-4000,281,134.612375
-4000,525,135.146472
-4000,978,136.218752
-3500,552,136.782983
-4000,650,137.436346
-3500,544,137.991536
-3500,438,138.430559
-3500,1153,139.605538
-4000,277,139.885407
3000,687,140.584863
-4000,513,141.11771
-4000,516,141.656144
-3500,224,141.881702
-4000,330,142.221658
-3500,490,142.737226
-4000,317,143.059257
-3500,394,143.445988
-4000,479,143.901871
-4000,821,144.683676
-3000,1645,146.24837
-3500,528,146.741637
-4000,385,147.103259
-3500,426,147.499579
-4000,243,147.732184
-3500,406,148.108365
